"","Team","Rec","STR","KRE","KE","PRE","PE","FGE","OFG","OFP","DFP","NFP","Year"
"195","Oklahoma State","9-3",-0.06,-0.07,0.04,-0.23,0.26,0.05,-0.17,69.2,76.2,7,2016
"196","Old Dominion","9-3",-0.06,0.12,-0.12,-0.17,-0.04,0.33,0.13,67.8,71,3.2,2016
"197","Wisconsin","11-3",-0.07,0.05,-0.02,-0.13,0,0.1,-0.01,67.3,73.2,5.9,2016
"198","Colorado State","6-6",-0.07,0.07,-0.06,-0.09,0.19,-0.03,-0.47,69.9,72.5,2.6,2016
"199","Florida International","4-8",-0.08,0.01,-0.22,0.05,0.01,0.03,0.33,72.2,68.6,-3.6,2016
"200","Northwestern","7-5",-0.08,0.14,-0.09,-0.09,0.03,-0.27,-0.02,72.1,68.7,-3.4,2016
"201","Marshall","2-9",-0.08,0.11,-0.1,0.09,0.02,-0.77,0.02,69,71.7,2.7,2016
"202","Connecticut","2-9",-0.08,-0.08,0,-0.08,0.04,-0.16,0.25,74.7,70.3,-4.3,2016
"203","Texas Tech","4-7",-0.09,-0.01,-0.04,-0.24,-0.01,0.48,0.21,74.4,67.9,-6.5,2016
"204","UTEP","3-8",-0.12,-0.11,0.04,-0.03,0.05,0.26,-0.32,71.7,68.6,-3.1,2016
"205","South Carolina","5-7",-0.13,0.13,-0.27,-0.24,0.11,0.38,0.26,70.9,70.5,-0.3,2016
"206","Arkansas State","8-4",-0.15,0.04,0.02,-0.06,0.08,-0.39,-0.32,69.9,71.7,1.8,2016
"207","Nevada","4-7",-0.15,-0.06,0.01,-0.04,0.09,-0.24,-0.17,72.8,71.3,-1.5,2016
"208","UTSA","5-7",-0.16,0.03,-0.14,-0.08,0.26,0.05,-0.51,68.5,70.1,1.6,2016
"209","Baylor","6-6",-0.17,-0.05,0,-0.11,0.21,-0.46,-0.12,72.5,70.5,-1.9,2016
"210","California","5-7",-0.17,0.08,-0.09,-0.12,0,0.28,-0.26,70.6,71.1,0.5,2016
"211","Rice","2-9",-0.17,0.02,-0.06,-0.17,0.08,-0.06,0.08,71.5,70.6,-0.9,2016
"212","Louisville","9-4",-0.18,-0.1,-0.08,-0.04,0.18,0.02,-0.18,68.8,69.8,1,2016
"213","Vanderbilt","5-7",-0.2,0.11,-0.2,-0.18,0.13,0.38,-0.28,73,68.1,-4.9,2016
"214","Tulsa","9-3",-0.2,0.05,-0.1,-0.26,0.25,0.23,-0.41,70.7,69.3,-1.4,2016
"215","Virginia","2-9",-0.21,0.08,-0.1,0.01,0.17,-1.08,-0.05,69.7,71,1.3,2016
"216","Kansas","1-10",-0.22,0.05,-0.02,-0.35,0,0.24,0.18,74.2,64.1,-10.1,2016
"217","Miami (OH)","6-6",-0.23,0.14,-0.15,-0.08,0,-0.03,-0.19,72.7,69.3,-3.4,2016
"218","Michigan State","2-9",-0.23,0,-0.14,-0.16,0.17,0.38,-0.34,73.3,70.5,-2.8,2016
"219","South Alabama","4-7",-0.27,-0.02,-0.12,-0.13,0.13,-0.45,0.27,70.8,71.3,0.5,2016
"220","NC State","6-6",-0.27,0.11,0.02,-0.07,-0.04,-0.68,-0.21,71.1,68.8,-2.4,2016
"221","Charlotte","3-8",-0.29,-0.01,-0.1,-0.02,-0.01,0.04,-0.19,71.4,67.1,-4.2,2016
"222","San Jose State","3-8",-0.3,0.02,-0.03,-0.2,0.17,0.26,-0.7,70.5,71.8,1.3,2016
"223","Toledo","8-4",-0.32,-0.06,-0.02,-0.05,0.14,-0.04,-0.59,72.7,73.2,0.5,2016
"224","Wyoming","7-6",-0.33,0.02,-0.17,-0.12,0.19,-0.16,-0.18,70.1,71,0.8,2016
"225","Indiana","6-7",-0.34,0.02,-0.05,-0.06,0.02,-0.25,-0.35,69.1,70.6,1.5,2016
"226","West Virginia","9-3",-0.34,0.04,-0.15,-0.18,0.11,-0.21,0.06,70.6,70.8,0.3,2016
"227","Purdue","2-9",-0.36,0.04,-0.17,-0.11,0.19,-0.1,-0.43,70.4,67.7,-2.7,2016
"228","Central Michigan","5-7",-0.39,0.03,-0.02,-0.12,0.05,-0.56,-0.23,71.5,69.4,-2,2016
"229","Georgia","7-5",-0.4,0.12,-0.21,-0.13,-0.03,-0.1,0.01,70.8,70.4,-0.4,2016
"230","Boise State","10-3",-0.4,-0.07,0.04,-0.19,0.12,-0.51,-0.11,74,72,-2.1,2016
"231","Syracuse","3-8",-0.41,-0.02,-0.33,0.12,0.09,-0.22,-0.06,72,71.5,-0.5,2016
"232","UL Monroe","3-8",-0.42,0.06,-0.18,-0.04,0.02,-0.09,-0.3,70.3,71.8,1.6,2016
"233","Colorado","9-4",-0.44,0.08,-0.13,-0.13,-0.13,-0.32,0.22,72.6,68.9,-3.7,2016
"234","Tulane","3-8",-0.46,-0.05,-0.07,-0.19,0.12,-0.33,-0.04,68.6,68.7,0,2016
"235","Utah State","2-9",-0.46,-0.01,-0.03,0.01,-0.07,-0.19,-0.49,71.1,70.5,-0.6,2016
"236","Oregon State","3-8",-0.46,0.07,-0.05,-0.09,0.12,-0.47,-0.73,71.3,69.5,-1.8,2016
"237","Cincinnati","3-8",-0.47,-0.01,-0.13,-0.12,0.01,-0.05,-0.15,71.5,70.3,-1.3,2016
"238","Florida State","9-3",-0.48,0.08,0.05,-0.27,-0.13,0.05,-0.36,71.5,69.7,-1.7,2016
"239","Southern Mississippi","6-6",-0.53,-0.07,-0.18,-0.24,0.16,0.27,-0.14,74,66.4,-7.7,2016
"240","Army","6-5",-0.55,-0.04,-0.11,0.06,-0.06,-0.9,0.07,69.3,66.6,-2.8,2016
"241","Kent State","2-8",-0.58,0.05,-0.15,-0.23,0.07,-0.15,-0.2,72.5,70.2,-2.3,2016
"242","Duke","3-8",-0.58,0.08,0.01,-0.11,-0.04,-1.45,0.04,71.9,71.7,-0.3,2016
"243","Middle Tennessee","7-5",-0.63,0.03,-0.13,-0.26,0.07,0.24,-0.56,71.8,66,-5.8,2016
"244","LSU","7-4",-0.64,-0.08,0,-0.31,0.21,0.02,-0.71,72.8,72,-0.8,2016
"245","UCLA","4-8",-0.69,0.05,-0.15,-0.08,-0.05,-0.33,-0.38,70.9,68,-2.9,2016
"246","New Mexico State","3-9",-0.69,-0.06,-0.14,-0.08,-0.18,0.11,-0.09,71.5,69.4,-2.1,2016
"247","UNLV","3-8",-0.76,-0.06,-0.18,-0.14,-0.06,0.4,-0.45,74.3,66.4,-7.9,2016
"248","East Carolina","2-9",-0.78,-0.02,-0.23,-0.2,-0.04,0.04,-0.04,74.7,68.2,-6.4,2016
"249","Arizona","2-9",-0.79,-0.05,-0.13,-0.29,-0.06,-0.13,0.12,74.4,67,-7.4,2016
"250","Texas State","1-10",-0.8,-0.07,-0.24,-0.04,0.08,-0.04,-0.6,71.1,65.8,-5.3,2016
"251","Illinois","2-9",-0.82,-0.03,-0.2,-0.17,-0.03,0.07,-0.31,71.4,64.2,-7.2,2016
"252","Rutgers","1-10",-0.83,-0.01,-0.34,-0.06,-0.22,-0.1,0.43,72.8,63.7,-9.1,2016
"253","Massachusetts","1-10",-0.83,0,-0.11,-0.03,0.05,-0.63,-0.8,70.9,67,-3.9,2016
"254","Georgia State","2-9",-0.96,0.06,-0.14,-0.26,-0.23,-0.54,0.21,75.2,65.2,-10,2016
"255","SMU","4-7",-0.97,-0.05,-0.24,-0.27,0.09,-0.19,-0.23,71.9,66.6,-5.4,2016
"256","Buffalo","2-9",-1.01,0.02,-0.33,-0.02,-0.08,-0.57,-0.18,71.1,68.2,-3,2016
"257","Kansas State","7-5",1.19,0.3,0.01,0.05,0.23,0.56,-0.07,66.4,72.6,6.2,2017
"258","TCU","10-3",0.99,0.2,0.03,-0.03,0.19,0.22,0.44,70.3,72.3,2,2017
"259","Western Michigan","5-6",0.81,0.28,0.02,-0.12,0.31,-0.19,0.18,65.2,70.5,5.3,2017
"260","Virginia Tech","8-4",0.81,0.1,0.01,0.04,0.19,-0.06,0.46,67.4,75.7,8.3,2017
"261","Marshall","8-5",0.75,0.27,0.11,-0.15,0.25,-0.29,0.11,71.1,72.6,1.5,2017
"262","Florida Atlantic","10-3",0.72,0.1,0,-0.05,0.26,0.09,0.35,68.9,71.9,3,2017
"263","Colorado","4-7",0.66,-0.06,0,0.13,0.17,0.31,0.17,72.1,73.8,1.6,2017
"264","Stanford","9-5",0.65,0.07,0.09,0.05,0.15,0.19,-0.2,67.1,76.8,9.7,2017
"265","Kentucky","6-6",0.65,0.11,-0.02,-0.08,0.21,0.53,0.06,69.4,71.6,2.2,2017
"266","UCF","12-0",0.64,0.19,-0.02,-0.04,0.16,0.14,0.17,68,73.8,5.8,2017
"267","San Diego State","9-3",0.63,0.49,0.01,0,-0.14,0.15,-0.18,70,72.6,2.6,2017
"268","Memphis","9-3",0.54,0.29,-0.01,-0.09,0.13,0,0,68.7,71.2,2.5,2017
"269","Iowa","8-5",0.52,0.13,0.12,-0.13,0.03,0.27,0.15,70.2,68.9,-1.3,2017
"270","Toledo","10-3",0.5,0.01,-0.01,0.15,0.06,0.14,0.07,67.9,72.3,4.4,2017
"271","Penn State","11-2",0.48,0.37,-0.02,-0.05,0.2,-0.66,-0.11,66.8,73.7,6.9,2017
"272","Arkansas State","6-5",0.47,0.13,-0.22,0.06,0.25,-0.01,0.31,66.2,73.6,7.4,2017
"273","Temple","6-6",0.43,0.17,-0.01,-0.1,0.11,-0.12,0.34,70.1,68.1,-2,2017
"274","Washington","9-3",0.4,0,0.02,0.22,0.14,-0.48,-0.16,67.6,73.8,6.2,2017
"275","Wyoming","7-5",0.39,0.31,-0.04,-0.16,0.12,0.26,-0.22,66.1,70.7,4.6,2017
"276","Wisconsin","13-1",0.39,-0.03,0.06,-0.08,0.09,0.53,0.05,70.4,71.5,1.1,2017
"277","Texas A&M","6-6",0.39,0.1,-0.1,-0.09,0.15,0.39,0.23,70.5,71.5,1,2017
"278","Utah","6-6",0.38,-0.02,-0.02,-0.11,0.29,0.46,-0.09,70.9,68.8,-2.1,2017
"279","Michigan","8-5",0.38,0,0.13,-0.06,-0.01,0.31,0.07,67.8,72.5,4.7,2017
"280","Georgia","12-2",0.38,0.04,0.02,-0.13,0.18,0.56,-0.15,68.6,72.7,4.1,2017
"281","Old Dominion","4-7",0.34,0.19,-0.12,-0.19,0.02,0.04,0.92,72.3,67.6,-4.7,2017
"282","Mississippi State","8-4",0.34,0.02,-0.03,-0.01,0.19,0.33,-0.22,68.9,70,1.1,2017
"283","Boise State","11-3",0.34,0.09,0.04,0.01,0.15,0,-0.36,68.6,72.1,3.4,2017
"284","Utah State","5-7",0.33,0.13,-0.04,0.02,0.12,-0.01,-0.14,68,71.4,3.4,2017
"285","Florida International","7-5",0.31,0.01,0.07,-0.15,0.08,0.39,0.11,71.6,71.6,0,2017
"286","Nebraska","4-8",0.28,0.06,-0.09,-0.02,0.16,0.19,0.01,71.2,71.1,-0.1,2017
"287","North Texas","8-5",0.27,0.04,-0.15,0.12,0.13,0.57,-0.41,70.9,70.1,-0.8,2017
"288","Maryland","3-8",0.27,0.07,0.01,0.07,-0.02,-0.63,0.47,70.8,68.3,-2.6,2017
"289","Minnesota","5-7",0.26,0.11,-0.09,-0.09,0.14,0.04,0.22,69.5,70.9,1.4,2017
"290","Ole Miss","5-6",0.25,0.18,-0.05,-0.19,0.08,0.34,0.12,70.6,71.5,0.9,2017
"291","Ohio State","12-2",0.24,0.08,-0.08,-0.16,0.22,0.04,0.24,69.7,72.9,3.1,2017
"292","Boston College","7-6",0.23,0.09,-0.03,-0.04,0.11,-0.32,0.19,68.4,72.1,3.8,2017
"293","Florida State","6-6",0.22,0.09,0.02,-0.15,0.01,0.4,0.06,71.2,68.9,-2.4,2017
"294","Air Force","4-7",0.2,-0.08,0,0.09,0.03,0.38,-0.2,73.5,67.4,-6.1,2017
"295","Clemson","11-2",0.2,0.03,0.02,-0.1,0.05,-0.34,0.56,69.1,73.3,4.2,2017
"296","North Carolina","2-9",0.19,0.15,-0.06,-0.14,0.09,0.01,0.22,72,70.4,-1.6,2017
"297","Indiana","4-7",0.19,-0.02,-0.13,-0.04,0.1,0.6,0.12,71.5,70,-1.5,2017
"298","Ohio","8-4",0.19,0.14,-0.04,-0.07,0.1,0.55,-0.58,68.1,70,1.9,2017
"299","Northwestern","10-3",0.19,0,-0.06,-0.13,0.23,0.09,0.12,69.5,70.5,1,2017
"300","Louisville","7-5",0.18,0.03,-0.07,-0.24,0.18,0.4,0.33,73.4,70.2,-3.2,2017
"301","Bowling Green","2-9",0.17,0.08,-0.09,-0.07,0.24,0.14,-0.28,70.1,70.4,0.3,2017
"302","Auburn","9-4",0.17,0.06,-0.08,-0.07,0.06,0.4,0.05,70.6,70.7,0.1,2017
"303","South Alabama","3-8",0.15,-0.02,-0.14,-0.16,0.33,0.32,0.06,71.6,68.9,-2.7,2017
"304","Georgia Southern","2-9",0.15,0.13,-0.06,-0.1,0.01,0.42,-0.1,70.3,68.8,-1.5,2017
"305","Pittsburgh","4-7",0.13,-0.05,-0.14,0.06,0.04,0.44,0.11,73.6,71.1,-2.5,2017
"306","Buffalo","5-6",0.13,-0.02,-0.04,-0.08,0.11,-0.43,0.61,69.4,70.8,1.4,2017
"307","South Carolina","8-4",0.12,0.2,0.02,-0.23,0.32,-0.42,-0.39,70.2,71.6,1.4,2017
"308","Troy","10-2",0.11,0.43,-0.19,-0.15,0.01,-0.57,0.37,69.2,69.4,0.2,2017
"309","Navy","7-6",0.11,0.07,-0.06,-0.02,0.22,-0.46,-0.11,69.4,71.5,2.2,2017
"310","Charlotte","1-10",0.11,0.07,0.06,0.02,0.12,-1.08,0.16,71.3,72.1,0.8,2017
"311","Texas","7-6",0.11,0.03,-0.04,-0.17,0.39,-0.42,-0.06,67.9,72.7,4.8,2017
"312","Tulane","4-7",0.09,0.03,-0.04,-0.13,0.09,0.13,0.14,71.8,70.5,-1.3,2017
"313","Alabama","12-1",0.06,0.02,0.1,-0.09,0.23,-0.18,-0.67,67.7,75.5,7.8,2017
"314","Fresno State","9-4",0.05,0.03,0.07,-0.21,0.06,0.18,-0.01,71.3,72,0.6,2017
"315","Iowa State","7-5",0.05,-0.04,-0.08,-0.03,0.16,0.02,-0.01,70.8,72.3,1.6,2017
"316","Wake Forest","7-5",0.05,0.02,-0.1,0.03,0.05,0.2,-0.14,69.4,70.9,1.6,2017
"317","Eastern Michigan","5-7",0.03,0.03,-0.07,-0.12,0.02,0,0.42,69.8,69.7,-0.1,2017
"318","Middle Tennessee","7-6",0.03,0.04,-0.09,-0.17,0.06,0.6,0.04,73.2,68.3,-5,2017
"319","BYU","3-9",0.03,-0.03,0.12,-0.24,0.26,-0.2,-0.25,71.4,70.9,-0.6,2017
"320","Baylor","1-10",0.03,0.01,-0.19,-0.11,0.31,0.28,-0.18,72.5,68.5,-4,2017
"321","Florida","4-7",0.02,-0.03,-0.04,-0.23,0.19,0.72,-0.22,72.3,70.4,-1.9,2017
"322","Arkansas","3-8",0.02,0.07,-0.03,-0.17,0.13,0.01,-0.04,71.9,69.1,-2.8,2017
"323","USC","11-3",0,0.04,-0.09,-0.05,0.07,-0.14,0.16,71,71.1,0.1,2017
"324","Notre Dame","10-3",-0.01,0,-0.07,-0.25,0.13,0.3,0.31,72.1,69.7,-2.4,2017
"325","UL Monroe","4-8",-0.01,0.33,-0.11,-0.19,0.12,-0.01,-0.47,70.2,71.7,1.5,2017
"326","Houston","7-5",-0.02,-0.02,-0.11,-0.16,0.17,0.18,0.21,70.5,71.7,1.2,2017
"327","Illinois","2-10",-0.02,-0.02,-0.03,-0.14,0.21,0.01,-0.14,72.3,69.4,-2.9,2017
"328","Missouri","6-6",-0.04,-0.02,-0.06,-0.13,0.24,0.15,-0.34,73.5,69.5,-4,2017
"329","Michigan State","10-3",-0.07,0.14,-0.08,-0.17,0.17,0.2,-0.52,68,73.1,5.1,2017
"330","Syracuse","3-8",-0.07,0.09,-0.05,-0.24,0.26,0.2,-0.47,72.2,71.9,-0.3,2017
"331","Virginia","5-7",-0.07,0.29,-0.16,-0.11,0.02,-0.16,-0.14,70.6,69.6,-0.9,2017
"332","Arizona State","7-6",-0.08,-0.03,-0.03,-0.07,0.06,0.23,-0.21,72.5,69.9,-2.5,2017
"333","Oregon","6-6",-0.09,-0.02,-0.01,-0.03,0.02,0.11,-0.29,68.6,68.5,0,2017
"334","Colorado State","6-6",-0.09,-0.08,0.04,-0.18,0.06,0.24,0.02,71.2,74.5,3.3,2017
"335","California","4-7",-0.1,-0.01,-0.01,-0.11,0.07,0.2,-0.27,69.3,69.6,0.3,2017
"336","San Jose State","1-11",-0.12,0.03,-0.15,-0.09,0,0.84,-0.31,71.8,68,-3.9,2017
"337","Rutgers","3-8",-0.12,0.02,-0.06,-0.16,0.11,0.24,-0.2,73.1,67.6,-5.4,2017
"338","Western Kentucky","5-7",-0.14,0,0.01,-0.11,0.17,-0.45,-0.15,70.8,71,0.2,2017
"339","New Mexico","2-9",-0.14,0.06,0.09,-0.2,0.21,0.11,-0.96,71.1,72.2,1.1,2017
"340","Miami (OH)","4-7",-0.15,-0.03,-0.2,-0.13,0.1,0.07,0.5,73.1,70.5,-2.7,2017
"341","Tennessee","3-8",-0.15,0.01,-0.04,-0.27,0.29,0.03,-0.29,70.7,71.1,0.4,2017
"342","Duke","6-6",-0.17,0.1,0.08,-0.3,0,0.04,-0.13,70.8,72.3,1.5,2017
"343","Army","9-3",-0.18,0.02,-0.14,0.12,0.09,-1.43,0.52,72.9,71.2,-1.7,2017
"344","Oregon State","0-11",-0.18,-0.04,0.06,-0.19,0.13,-0.04,-0.31,73.8,67.5,-6.2,2017
"345","Idaho","3-8",-0.18,-0.06,0.03,-0.12,-0.02,-0.06,0.07,70.1,68.7,-1.4,2017
"346","Oklahoma","12-2",-0.2,0.01,-0.07,-0.17,0.11,0.2,-0.22,72.2,70.6,-1.6,2017
"347","South Florida","9-2",-0.2,0.04,-0.13,-0.04,0.01,0.26,-0.26,68.5,71.2,2.7,2017
"348","Northern Illinois","7-5",-0.21,0.01,-0.12,-0.04,0.09,-0.39,0.08,68.6,70.1,1.5,2017
"349","UCLA","6-7",-0.23,0,-0.05,-0.18,0.03,0.19,-0.03,72.9,69.8,-3.1,2017
"350","Louisiana","4-7",-0.24,0.02,-0.21,-0.12,0.22,-0.05,-0.09,70.2,70.6,0.4,2017
"351","Louisiana Tech","6-6",-0.24,0.03,-0.09,-0.18,-0.12,0.35,0.26,70.7,70.2,-0.6,2017
"352","Appalachian State","8-4",-0.24,0.08,-0.09,-0.05,-0.01,-0.11,-0.27,65.8,69.9,4.1,2017
"353","SMU","6-6",-0.25,0.01,-0.1,-0.11,0.1,-0.08,-0.14,69.9,70.6,0.7,2017
"354","Texas Tech","5-7",-0.25,0.14,-0.05,-0.18,0.16,-0.78,-0.09,70.1,69.3,-0.8,2017
"355","UTSA","5-5",-0.26,-0.04,-0.09,-0.17,0.22,0.16,-0.41,70.9,73,2.1,2017
"356","UNLV","5-6",-0.29,-0.05,-0.06,-0.01,-0.17,0.44,-0.18,70.4,68.6,-1.8,2017
"357","Connecticut","2-9",-0.29,-0.02,0.01,-0.19,0.04,-0.1,-0.09,74.3,70.7,-3.6,2017
"358","Tulsa","2-10",-0.31,0.02,-0.03,-0.12,0,0.28,-0.54,74.1,71.4,-2.7,2017
"359","Coastal Carolina","3-8",-0.35,0.05,-0.4,-0.04,0.14,-0.19,0.39,71,70.5,-0.4,2017
"360","LSU","8-4",-0.36,0.04,-0.02,-0.22,0.25,-0.33,-0.62,71.3,74.6,3.3,2017
"361","Miami","9-3",-0.37,0.01,-0.08,0,0.11,0.08,-0.98,69.6,71.3,1.6,2017
"362","West Virginia","6-6",-0.37,0.02,-0.11,-0.16,0,-0.04,0.04,73.2,67.9,-5.3,2017
"363","Southern Mississippi","7-5",-0.38,-0.04,-0.1,-0.16,0.17,0.37,-0.64,72.8,69.5,-3.3,2017
"364","New Mexico State","7-6",-0.38,0.14,-0.26,-0.22,0.04,-0.1,0.36,72.5,66.7,-5.8,2017
"365","Purdue","7-6",-0.38,-0.1,-0.07,-0.07,0.18,-0.02,-0.59,70.4,71.3,0.9,2017
"366","Kent State","1-10",-0.43,-0.06,-0.2,-0.22,0.21,-0.29,0.32,73.2,67.1,-6,2017
"367","East Carolina","3-8",-0.44,0.03,-0.03,-0.31,-0.01,0.05,0.01,73.1,70.5,-2.6,2017
"368","NC State","8-4",-0.44,0.12,-0.15,-0.04,-0.01,-0.68,-0.07,70.7,71.9,1.3,2017
"369","Nevada","3-8",-0.45,-0.03,-0.14,-0.05,-0.15,-0.01,0.2,72.6,68.4,-4.2,2017
"370","Hawaii","2-9",-0.47,-0.07,-0.23,-0.08,0.16,-0.57,0.31,73.8,69.2,-4.6,2017
"371","Central Michigan","7-5",-0.48,0.1,-0.13,-0.21,0.1,-0.71,0.08,71.7,67.2,-4.5,2017
"372","Akron","6-7",-0.49,0,-0.1,-0.05,-0.02,-0.89,0.21,70.7,69.2,-1.5,2017
"373","Rice","1-11",-0.5,-0.03,0.05,-0.06,0.03,-0.84,-0.38,74.4,69.4,-4.9,2017
"374","Georgia State","7-4",-0.53,0.01,-0.12,-0.21,0.03,-0.26,0.05,71.2,71.5,0.3,2017
"375","Cincinnati","3-8",-0.53,-0.06,-0.1,-0.24,0.21,-0.45,-0.06,73.8,71.3,-2.5,2017
"376","Oklahoma State","10-3",-0.55,-0.03,-0.04,-0.22,0.02,0.14,-0.41,70.5,73.4,3,2017
"377","UTEP","0-12",-0.61,0.04,-0.02,-0.14,0.06,-0.71,-0.48,74,70,-4,2017
"378","Arizona","6-6",-0.63,0.01,-0.04,-0.1,-0.25,0.1,-0.35,70,70.3,0.4,2017
"379","Washington State","8-4",-0.66,-0.07,-0.07,-0.24,0.05,0.59,-0.81,71.1,66.3,-4.8,2017
"380","Ball State","1-10",-0.67,0.07,-0.04,-0.13,-0.31,0.08,-0.3,71.4,67.1,-4.3,2017
"381","Kansas","0-11",-0.78,0.06,-0.24,-0.28,-0.09,0.38,-0.1,74.1,64.3,-9.7,2017
"382","Massachusetts","3-8",-0.79,0.12,-0.14,-0.14,-0.12,-0.29,-0.5,69.7,65.7,-4,2017
"383","UAB","7-5",-0.81,-0.05,-0.11,-0.14,-0.08,0.18,-0.64,71.2,68.1,-3.1,2017
"384","Georgia Tech","4-6",-0.86,0.08,-0.32,-0.17,0.11,-0.33,-0.36,72.3,68.3,-4,2017
"385","Texas State","1-10",-0.89,-0.07,-0.19,-0.14,0.07,-0.33,-0.45,74.5,69.1,-5.4,2017
